#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-42	S100A8 complex	-	9606	CHEBI:29108(0)|P05109(2)	ECO:0000353(physical interaction evidence used in manual assertion)	wwpdb:1mr8	GO:0035662(Toll-like receptor 4 binding)|GO:0034121(regulation of Toll signaling pathway)|GO:1990661(S100A8 complex)	pubmed:22489132(see-also)|complex portal:CPX-42(complex-primary)	Homodimer, stabilised by Ca2+ binding. Binds to toll-like receptor 4 (TLR4).	There are two EF-hand motifs per monomer and each EF-hand binds one Ca2+ with a different affinity, the affinity of the C-terminal EF-hand being stronger than that of the N-terminal EF-hand.	Homodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P05109(2)
CPX-48	S100A9 complex	-	9606	CHEBI:29108(0)|P06702(2)	ECO:0000353(physical interaction evidence used in manual assertion)	wwpdb:1IRJ	GO:0060264(regulation of respiratory burst involved in inflammatory response)|GO:0035662(Toll-like receptor 4 binding)|GO:0050786(RAGE receptor binding)|GO:0034121(regulation of toll-like receptor signaling pathway)|GO:0050544(arachidonic acid binding)|GO:1903962(arachidonate transporter activity)|GO:0008017(microtubule binding)|GO:1990662(S100A9 complex)	pubmed:22489132(see-also)|pubmed:23123827(see-also)|pubmed:15642721(see-also)|complex portal:CPX-48(complex-primary)	Homodimer, stabilised by Ca2+ binding. Binds to toll-like receptor 4 (TLR4) and the receptor for advanced glycation end products (RAGE) initiating signal transduction through NF-kappa-B pathways. S100A9 transports arachidonic acid between the cytosol and the NADPH oxidase complex at the plasma membrane in neutrophils as part of an inflammatory signal cascade leading to an oxidative burst. S100A9 complexes with microtubules increasing cell motility.	There are two EF-hand motifs per monomer and each EF-hand binds one Ca2+ with a different affinity, the affinity of the C-terminal EF-hand being stronger than that of the N-terminal EF-hand. Three consecutive histidine residues in the C-terminal tail of S100A9 bind arachidonic acid.	Homodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P06702(2)
CPX-51	Cardiac phospholamban complex	cardiac PLB complex|cardiac PLN complex	9606	P26678(5)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-6624969	GO:1901895(negative regulation of calcium-transporting ATPase activity)|GO:0086004(regulation of cardiac muscle cell contraction)|GO:0005246(calcium channel regulator activity)|GO:1990629(phospholamban complex)|GO:0051924(regulation of calcium ion transport)	efo:Orphanet:155(see-also)|wwpdb:1ZLL(identity)|reactome:R-HSA-5578810(identity)|reactome:R-HSA-5578811(identity)|complex portal:CPX-51(complex-primary)	The cardiac PLN complex is a homopentamer found in the sarcoplasmic reticulum (SR) membrane of the cardiomyocytes and acts as a regulator of intracellular calcium levels. Cardiac PLN is a main determinant of muscle contraction and relaxation. In the unphosphorylated form PLN inhibits the sarco(endo)plasmic reticulum calcium ATPase (SERCA), a membrane protein responsible for the pumping most of the calcium from the cytoplasm to the SR, thereby causing a relaxation of myofibrils.	The cardiac PLN homopentamer is a 30-kDa complex composed of 5 PLN monomers. Each of the monomers consists of a short, positively charged amphipathic (AP) alpha-helix, an extended linker and a long TM alpha-helix. PLN pentamer forms an unusual bell flower-like assembly held together by leucine/isoleucine zipper motifs along the membrane-spanning helices. The structure has some unexpected features, such as a strong curvature of the TM helix and an axial orientation of the AP helix. The architecture of the complex resembles that of a channel, which is consistent with the theory that PLN could also function as an ion channel.	Homopentamer	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (O14983)|Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (P16615).	Cardiomyopathy, familial hypertrophic 18 (CMH18) [MIM:613874], or Familial isolated hypertrophic cardiomyopathy: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death	-	-	-	psi-mi:"MI:0469"(IntAct)	P26678(5)
CPX-52	iNOS-S100A8/A9 complex	-	9606	P05109(0)|P06702(0)|P35228(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10091946	GO:0018119(peptidyl-cysteine S-nitrosylation)|GO:0007263(nitric oxide mediated signal transduction)|GO:0035605(nitric-oxide synthase activity)|GO:0070026(nitric oxide binding)|GO:0016769(transferase activity, transferring nitrogenous groups)|GO:1990657(iNOS-S100A8/A9 complex)	pubmed:25417112(see-also)|intenz:1.14.13.39(identity)|complex portal:CPX-52(complex-primary)	Stimulus-inducible, S-nitrosylase complex which S-nitrosylates cysteine residues in target proteins, a principal mechanism of nitric oxide (NO)-mediated signal transduction. S100A9 acts both as an adaptor linking NOS2 to its target via protein-protein interaction and as a transnitrosylase that transfers the nitric oxide moiety from NOS2 to its target, via its own S-nitrosylated Cys-3. S100A8 interacts with the target and dictates site-specificity of the S-nitrosylase complex by [I/L]-X-C-X2-[D/E] motif recognition. S100A8 binding induces a conformational change in the target protein and restricts transfer of NO from S100A9 to the motif-associated cysteine. Stimulated by oxidised LDL (CHEBI:60151) and interferon-gamma.	-	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P05109(0)|P06702(0)|P35228(0)
CPX-54	SMAD1-SMAD4 complex 	SMAD1/SMAD4 transcription factor complex	9606	Q13485(1)|Q15797(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10112052	GO:0006351(transcription, DNA-templated)|GO:0030509(BMP signaling pathway)|GO:0007179(transforming growth factor beta receptor signaling pathway)|GO:0003700(sequence-specific DNA binding transcription factor activity)|GO:0071144(heteromeric SMAD protein complex)|GO:0003690(double-stranded DNA binding)	pubmed:16322555(see-also)|complex portal:CPX-54(complex-primary)|signor:SIGNOR-C85(identity)	A transcription factor complex which binds to the promoters of target genes and recruits co-activators and histone acetyltransferases, such as p300, CBP and P300/CBP-associated factor, facilitating transcription. In response to TGF-beta/activin-family protein binding, primarily BMP (bone morphogenetic proteins), TGF-beta type II receptors phosphorylate TGF-beta type I receptors (ALK1, 2, 3 and 6) which in turn phosphorylates SMAD1 on Ser-463 and Ser-465. This enables binding to SMAD4 to form heteromeric SMAD complexes that enter the nucleus to initiate gene transcription. Because of their relatively low DNA-binding affinity, SMAD complexes interact with a wide variety of DNA-binding proteins. Crosstalk with other signalling pathways and interaction with other DNA-binding cofactors define the specific binding patterns of SMADs; in addition, interaction with coactivators/corepressors modulates their transcriptional activity.	Preferential formation of the regulatory R-Smad/SMAD4 heterotrimer over the R-Smad homotrimer is largely enthalpy driven, contributed by the unique presence of strong electrostatic interactions within the heterotrimeric interfaces. These electrostatic interactions exist only in the heterotrimer due to specific charged residues in the SMAD4 subunit, Asp-493 and Arg-378, mediating complementary electrostatic interactions with the neighboring R-Smad subunits.	Heterotrimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	Q13485(1)|Q15797(2)
CPX-56	GLI1-SUFU complex	SUFU-GLI1 complex	9606	P08151(1)|Q9UMX1(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10170014	GO:1990788(GLI-SUFU complex)|GO:1990787(negative regulation of hh target transcription factor activity)	wwpdb:4BLB(identity)|wwpdb:4kmd(identity)|reactome:R-HSA-5610605(identity)|reactome:R-HSA-5610531(identity)|complex portal:CPX-56(complex-primary)|reactome:R-HSA-5610612(identity)	Transcriptional modulator complex, the formation of which regulates the activity of GLI transcription factors. Role as a negative regulator of the hedgehog-signalling network and plays a fundamental role in the control of development, cell proliferation and differentiation.	GLI binding causes major conformational changes in SUFU, stabilizing SUFU in a "closed" state. The "open" conformation of SUFU is promoted by Hedgehog signalling, when it dissociates from GLI.	Heterodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P08151(1)|Q9UMX1(1)
CPX-61	NKX2-5 transcription factor complex	NKX2E homodimer complex	9606	P52952(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10636810	GO:0060411(cardiac septum morphogenesis)|GO:0006355(regulation of DNA-templated transcription)|GO:0007507(heart development)|GO:0000981(DNA-binding transcription factor activity, RNA polymerase II-specific)|GO:1990664(Nkx-2.5 complex)|GO:0000978(RNA polymerase II cis-regulatory region sequence-specific DNA binding)	efo:Orphanet:1479(see-also)|efo:Orphanet:442(see-also)|efo:EFO:0005679(see-also)|efo:Orphanet:2445(see-also)|pubmed:11042197(see-also)|pubmed:22849347(see-also)|complex portal:CPX-61(complex-primary)|wwpdb:3rkq(identity)	Nkx-2.5 is an evolutionary conserved transcription factor important for the specification and differentiation of cardiomyocytes during heart development and also required for spleen development. It binds DNA either as a monomer, homodimer, or heterodimer complex to activate or inhibit expression of genes.	The NKX-2.5 homodimer complex is composed of two NKX-2.5 molecules interacting possibly at the C-terminus of their homeobox domains (HD). Lys-193 and Arg-194 located at the HD C-terminus are essential residues for homodimerization. In the presence of DNA bound to the complex, each NKX-2.5 monomer interacts with a DNA strand through a HD. A single missense mutation, Ile-183 to Pro in the HD preserves the homodimerization, but totally abolishes DNA binding.	Homodimer	Nppa (ENSG00000175206) promoter	ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS. A congenital heart malformation characterized by incomplete closure of the wall between the atria resulting in blood flow from the left to the right atria, and atrioventricular conduction defects in some cases.|Conotruncal heart malformations: A group of congenital heart defects involving the outflow tracts. Examples include truncus arteriosus communis, double-outlet right ventricle and transposition of great arteries.|Hypothyroidism, congenital, non-goitrous, 5: A non-autoimmune condition characterized by resistance to thyroid-stimulating hormone (TSH) leading to increased levels of plasma TSH and low levels of thyroid hormone.	-	-	-	psi-mi:"MI:0469"(IntAct)	P52952(2)
CPX-69	bZIP transcription factor complex, CEBPA-DDIT3	CHOP-C/EBPalpha complex	9606	P35638(1)|P49715(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10890718	GO:0000977(RNA polymerase II transcription regulatory region sequence-specific DNA binding)|GO:0005634(nucleus)|GO:0036488(CHOP-C/EBP complex)|GO:0000122(negative regulation of transcription by RNA polymerase II)|GO:0001227(DNA-binding transcription repressor activity, RNA polymerase II-specific)	efo:EFO:0000613(see-also)|efo:EFO:0000222(see-also)|pubmed:23850759(see-also)|pubmed:8657121(see-also)|complex portal:CPX-69(complex-primary)	Transcription factor complex which binds to a specific DNA consensus sequence to regulate transcription. The DNA recognition sequence depends on the composition of the bZIP dimer with the complex either binding to the preferred region of one of the partners or to a novel bZIP cognate site. DDIT3 binding to CEBPA inhibits CEBPA homodimerisation and therefore activation of transcription of CEBPA-specific genes. Induced in response to ER stress, nutrient deprivation and certain toxins. Induces cell cycle arrest and apoptosis in response to ER stress. 	Dimerization is mediated by the basic leucine-zipper (bZIP) 60-80 amino acid domain, consisting of a highly conserved DNA binding basic region and a more diversified leucine zipper dimerization region. The latter domain adopts an alpha helical structure where leucine, or leucine-like, side chains line up on the same side of the helix and interact with the alpha helix of the leucine zipper of the other family member to enable dimer formation. DNA binding specificity appears to be linked to low-affinity binding sites which guide transcription factors to their cognate target sites. 	Heterodimer	-	Translocations of t(12;16) and t(12;22;20) fuse part of the CHOP (DDIT3) gene to another gene causing myxoid liposarcoma. Sporatic mutations of CEBPA can cause acute myeloid leukemia.	-	-	-	psi-mi:"MI:0469"(IntAct)	P35638(1)|P49715(1)
CPX-70	bZIP transcription factor complex, CEBPB-DDIT3	CHOP-C/EBPbeta complex	9606	P17676(1)|P35638(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10890753	GO:0036488(CHOP-C/EBP complex)|GO:0000977(RNA polymerase II transcription regulatory region sequence-specific DNA binding)|GO:0000122(negative regulation of transcription by RNA polymerase II)|GO:0001227(DNA-binding transcription repressor activity, RNA polymerase II-specific)|GO:0005634(nucleus)	efo:EFO:0000613(see-also)|pubmed:23850759(see-also)|pubmed:8657121(see-also)|complex portal:CPX-70(complex-primary)|pubmed:28186491(see-also)	Transcription factor complex which binds to a specific DNA consensus sequence to regulate transcription. The DNA recognition sequence depends on the composition of the bZIP dimer with the complex either binding to the preferred region of one of the partners or to a novel bZIP cognate site. DDIT3 binding to CEBPB inhibits CEBPB homodimerisation and therefore activation of transcription of CEBPB-specific genes. Induced in response to ER stress, nutrient deprivation and certain toxins. Induces cell cycle arrest and apoptosis in response to ER stress. 	Dimerization is mediated by the basic leucine-zipper (bZIP) 60-80 amino acid domain, consisting of a highly conserved DNA binding basic region and a more diversified leucine zipper dimerization region. The latter domain adopts an alpha helical structure where leucine, or leucine-like, side chains line up on the same side of the helix and interact with the alpha helix of the leucine zipper of the other family member to enable dimer formation. DNA binding specificity appears to be linked to low-affinity binding sites which guide transcription factors to their cognate target sites. 	Heterodimer	-	Translocations of t(12;16) and t(12;22;20) fuse part of the CHOP (DDIT3) gene to another gene causing myxoid liposarcoma.	-	-	-	psi-mi:"MI:0469"(IntAct)	P17676(1)|P35638(1)
CPX-71	bZIP transcription factor complex, CEBPA-CEBPA	C/EBPalpha complex	9606	P49715(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10890698	GO:0001228(DNA-binding transcription activator activity, RNA polymerase II-specific)|GO:0045944(positive regulation of transcription by RNA polymerase II)|GO:0005634(nucleus)|GO:1990647(C/EBP complex)|GO:0000977(RNA polymerase II transcription regulatory region sequence-specific DNA binding)	efo:EFO:0000222(see-also)|pubmed:8657121(see-also)|pubmed:23850759(see-also)|complex portal:CPX-71(complex-primary)|pubmed:28186491(see-also)|pubmed:23661758(see-also)	Transcription factor complex which binds to a specific DNA consensus sequence to regulate transcription. The DNA recognition sequence depends on the composition of the bZIP dimer with the complex either binding to the preferred region of one of the partners or to a novel bZIP cognate site. This complex regulates the expression of genes involved in immune and inflammatory responses, binding to the regulatory regions of several acute-phase and cytokines genes and probably playing a role in the regulation of acute-phase reaction, inflammation and hemopoiesis.	Dimerization is mediated by the basic leucine-zipper (bZIP) 60-80 amino acid domain, consisting of a highly conserved DNA binding basic region and a more diversified leucine zipper dimerization region. The latter domain adopts an alpha helical structure where leucine, or leucine-like, side chains line up on the same side of the helix and interact with the alpha helix of the leucine zipper of the other family member to enable dimer formation. DNA binding specificity appears to be linked to low-affinity binding sites which guide transcription factors to their cognate target sites. 	Homodimer	-	Sporatic mutations of CEBPA can cause acute myeloid leukemia.	-	-	-	psi-mi:"MI:0469"(IntAct)	P49715(2)
CPX-73	Phosphatidylinositol 3-kinase complex, class III, ATG14 variant	1-phosphatidylinositol 3-kinase complex|PtdIns-3-kinase complex|PI3-kinase complex|ATP:1-phosphatidyl-1D-myo-inositol 3-phosphotransferase complex|PI3K complex|PIK3C3-C1 complex|PK3C3-PI3R4-BECN1-BAKOR complex|phosphoinositide 3-kinase complex	9606	CHEBI:29035(0)|Q14457(1)|Q6ZNE5(1)|Q8NEB9(1)|Q99570(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10688703	GO:0006468(protein phosphorylation)|GO:0016303(1-phosphatidylinositol-3-kinase activity)|GO:0005524(ATP binding)|GO:0097352(autophagic vacuole maturation)|GO:0036092(phosphatidylinositol-3-phosphate biosynthetic process)|GO:0045022(early endosome to late endosome transport)|GO:0016241(regulation of macroautophagy)|GO:0006622(protein targeting to lysosome)|GO:0035032(phosphatidylinositol 3-kinase complex, class III)	pubmed:16467569(see-also)|reactome:R-HSA-74693(identity)|reactome:R-HSA-188015(identity)|emdb:EMD-2846(identity)|intenz:2.7.1.137(identity)|rhea:RHEA:12709(identity)|complex portal:CPX-73(complex-primary)|signor:SIGNOR-C242(identity)	A phosphatidylinositol 3-kinase complex that specifically phosphorylates 1-phosphatidyl-1D-myo-inositol(1-) (CHEBI:57880) in an ATP- and Mn(2+)-dependent manner. Plays a key role in initiation and maturation of autophagosomes, involved in the transport of lysosomal enzyme precursors to lysosomes, required for transport from early to late endosomes.	-	Heterotetramer	specific substrate: 1-phosphatidyl-1D-myo-inositol(1−) (CHEBI:57880)	-	-	-	-	psi-mi:"MI:0469"(IntAct)	Q14457(1)|Q6ZNE5(1)|Q8NEB9(1)|Q99570(1)
CPX-74	Phosphatidylinositol 3-kinase complex, class III, UVRAG variant	PK3C3-PI3R4BECN1-UVRAG complex|phosphoinositide 3-kinase complex|1-phosphatidylinositol 3-kinase complex|PtdIns-3-kinase complex|PI3-kinase complex|ATP:1-phosphatidyl-1D-myo-inositol 3-phosphotransferase complex|PI3K complex|PIK3C3-C2 complex	9606	CHEBI:29035(0)|Q14457(1)|Q8NEB9(1)|Q99570(1)|Q9P2Y5(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10688923	GO:0010506(regulation of autophagy)|GO:0006468(protein phosphorylation)|GO:0016303(1-phosphatidylinositol-3-kinase activity)|GO:0005524(ATP binding)|GO:0036092(phosphatidylinositol-3-phosphate biosynthetic process)|GO:0035032(phosphatidylinositol 3-kinase complex, class III)	pubmed:16467569(see-also)|intenz:2.7.1.137(identity)|complex portal:CPX-74(complex-primary)|signor:SIGNOR-C241(identity)	A phosphatidylinositol 3-kinase complex that specifically phosphorylates 1-phosphatidyl-1D-myo-inositol(1−) (CHEBI:57880) in an ATP- and Mn(2+)-dependent manner. Plays a role in later stages of autophagy.	-	Heterotetramer	specific substrate: 1-phosphatidyl-1D-myo-inositol(1−) (CHEBI:57880)	-	-	-	-	psi-mi:"MI:0469"(IntAct)	Q14457(1)|Q8NEB9(1)|Q99570(1)|Q9P2Y5(1)
CPX-77	DNA mismatch repair MutSbeta complex	DNA lesion recognition complex MutSbeta|MutS heterodimer	9606	P20585(1)|P43246(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1164225	GO:0032302(MutSbeta complex)|GO:0005524(ATP binding)|GO:0030983(mismatched DNA binding)|GO:0008094(DNA-dependent ATPase activity)|GO:0000287(magnesium ion binding)|GO:0006298(mismatch repair)	efo:Orphanet:144(see-also)|efo:Orphanet:908(see-also)|efo:EFO:0000533(see-also)|efo:Orphanet:206647(see-also)|wwpdb:3thy(identity)|reactome:R-HSA-5358517(identity)|complex portal:CPX-77(complex-primary)	Mismatch repair complex, involved in the recognition and repair of base-base and small insertion/deletion mismatches that appear as a consequence of DNA polymerase errors during DNA synthesis. MutSbeta recognises insertions or deletions loops 1-15 nucleotides as well as DNA with a 3prime single-stranded overhang. Also required for the mutagenic expansion of trinucleotide repeats.	The N-terminal domains of both subunits bind DNA. Binding to normal DNA induces conformational changes in the DNA-binding domains and ATP hydrolysis, put the protein-DNA association is not stable. Binding to a mismatched DNA which can bend, leads to stable association of MSH3 with DNA and and inhibition of its ATP activity. When MSH3 is bound to mismatched DNA and MSH2 to ATP, the complex can recruit MutLalpha and initiate the repair process.	Heterodimer	-	Lynch syndrome - hereditary nonpolypsis colorectal cancer|Myotonic dystrophy - due to role in mutagenic expansion of trinucleotide repeats|Fragile X syndrome - due to role in mutagenic expansion of trinucleotide repeats|Huntingtons disease - due to role in mutagenic expansion of trinucleotide repeats	-	-	-	psi-mi:"MI:0469"(IntAct)	P20585(1)|P43246(1)
CPX-79	General transcription factor TFIIF complex	TFIIF complex|RNA polymerase II preinitiation complex TFIIF|RAP30-RAP74 complex	9606	P13984(1)|P35269(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1030578	GO:0006367(transcription initiation from RNA polymerase II promoter)|GO:0006368(transcription elongation from RNA polymerase II promoter)|GO:0005674(transcription factor TFIIF complex)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0000977(RNA polymerase II regulatory region sequence-specific DNA binding)|GO:0003678(DNA helicase activity)|GO:0003711(transcription elongation regulator activity)|GO:0016251(RNA polymerase II general transcription initiation factor activity)	pubmed:11183778(see-also)|reactome:R-HSA-109631(identity)|wwpdb:1f3u(identity)|complex portal:CPX-79(complex-primary)|signor:SIGNOR-C394(identity)	TFIIF is a general transcription factor associated with RNA polymerase II (CPX-2387/CPX-7481). It prevents the non-specific interaction of RNA Pol II with DNA and stabilizes the pre-initiation complex (PIC), in particular stabilizing TFIIB within the PIC and stimulating the recruitment of TFIIH, thus promoting initiation and elongation. May also interact with paused Pol II causing a conformational change that facilitates the re-entry into elongation mode.	Subunits interact via a triple beta-barrel domain. The complex may oligomerize. Residues 30-45 of GTF2F2 are crucial for elongation activity, residues 15-30 of GTF2F2 are crucial for binding with RAP74. Buried surface area: 4400 A2. 	Heterodimer	-	-	-	-	-	psi-mi:"-"(ceitec)	P13984(1)|P35269(1)
CPX-80	DNA mismatch repair MutSalpha complex 	DNA lesion recognition complex MutSalpha|MutS heterodimer	9606	P43246(1)|P52701(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-6591526	GO:0032301(MutSalpha complex)|GO:0005524(ATP binding)|GO:0003684(damaged DNA binding)|GO:0008094(DNA-dependent ATPase activity)|GO:0000287(magnesium ion binding)|GO:0030983(mismatched DNA binding)	efo:Orphanet:144(see-also)|efo:Orphanet:587(see-also)|wwpdb:2O8B(identity)|wwpdb:2o8c(identity)|wwpdb:2o8d(identity)|wwpdb:2o8e(identity)|wwpdb:2o8f(identity)|reactome:R-HSA-5358531(identity)|complex portal:CPX-80(complex-primary)|signor:SIGNOR-C60(identity)	Mismatch repair complex, involved in the recognition and repair of base-base and small insertion/deletion mismatches that appear as a consequence of DNA polymerase errors during DNA synthesis. MutSalpha recognizes single base mismatches and 1- or 2- nucleotide insertion or deletion mis-pairs.	The N-terminal domains of both subunits bind DNA. Binding to normal DNA induces conformational changes in the DNA-binding domains and ATP hydrolysis, but the protein-DNA association is not stable. Binding to a mismatched DNA which can bend, leads to stable association of MSH2 with DNA and and inhibition of its ATP activity. ATP-bound MSH2-MSH6 sliding clamps form and are constrained within the heteroduplex region of the D-loop recombination initiation intermediate. When MSH6 is bound to mismatched DNA and MSH2 to ATP, the complex can recruit MutLalpha and initiate the repair process.	Heterodimer	-	Lynch syndrome - hereditary nonpolypsis colorectal cancer|Muir-Torre syndrome	-	-	-	psi-mi:"-"(ceitec)	P43246(1)|P52701(1)
CPX-82	Mitotic spindle assembly checkpoint Mad1 complex	-	9606	Q9Y6D9(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15980369	GO:0043515(kinetochore binding)|GO:0007094(mitotic spindle assembly checkpoint)|GO:1990706(MAD1 complex)	pubmed:22898774(see-also)|wwpdb:4dzo(identity)|complex portal:CPX-82(complex-primary)	Downstream component of the kinetochore-targeting hierarchy. Stimulates assembly of the mitotic checkpoint complex which prevents premature chromosome segregation until all kinetochores have obtained connections to spindle microtubules. 	molecular mass: approximately 35kDa	Homodimer	-	-	-	-	-	psi-mi:"-"(ceitec)	Q9Y6D9(2)
CPX-85	Mitotic spindle assembly checkpoint MAD1-MAD2 complex	MAD1-MAD2 complex	9606	Q13257(2)|Q9Y6D9(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15889556	GO:0090267(positive regulation of mitotic cell cycle spindle assembly checkpoint)|GO:0043515(kinetochore binding)|GO:1990728(mitotic spindle assembly checkpoint MAD1-MAD2 complex)	wwpdb:1go4(identity)|complex portal:CPX-85(complex-primary)	Acts at the spindle checkpoint, in a surveillance mechanism that mediates a delay in the onset of anaphase, until all chromosomes are properly attached to the mitotic or meiotic spindle. Inhibits Cdc20, the mitotic co-activator of the anaphase-promoting complex/cyclosome (APC/C), an E3 ubiquitin ligase. Mad2 adopts two distinct conformations; when unbound, it adopts an open conformation (O-Mad2) but upon binding to Mad1, the Mad2 C-terminal tail crosses the entire surface of the beta-sheet and locks Mad1. Upon mitotic entry, the Mad1-C-Mad2 core complex is recruited to kinetochores. Because Mad2 can dimerise, O-Mad2 from the cytosol can then be recruited to kinetochore-bound Mad1-C-Mad2. C-Mad2 within the Mad1-C-Mad2 core complex acts as a prion-like template, catalysing the conversion of additional O-Mad2 proteins to the closed conformation and in doing so binding Cdc20.	The complex is asymmetric. The Mad1 chains interact via the N-terminal coiled-coil involving the N-terminal helix. Mad1 residues 527-539 are involved in a number of additional interactions with Mad2.	Heterotetramer	-	-	-	-	-	psi-mi:"-"(ceitec)	Q13257(2)|Q9Y6D9(2)
CPX-88	Mitotic spindle assembly checkpoint complex MAD2	-	9606	Q13257(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15689810	GO:0090267(positive regulation of mitotic cell cycle spindle assembly checkpoint)	wwpdb:2v64(identity)|complex portal:CPX-88(complex-primary)	The Spindle Assembly complex ensures accurate chromosome segregation by delaying anaphase entry by inhibiting Cdc20, the mitotic co-activator of the anaphase-promoting complex/cyclosome (APC/C), an E3 ubiquitin ligase. Mad2 adopts two distinct conformations; when unbound, it adopts an open conformation (O-Mad2) but upon binding to Mad1, the Mad2 C‐terminal tail crosses the entire surface of the beta‐sheet and locks Mad1. Upon mitotic entry, the Mad1–C-Mad2 core complex is recruited to kinetochores. Because Mad2 can dimerise, O-Mad2 from the cytosol can then be recruited to kinetochore-bound Mad1–C-Mad2. C-Mad2 within the Mad1–C-Mad2 core complex acts as a prion-like template, catalysing the conversion of additional O-Mad2 proteins to the closed conformation and in doing so binding Cdc20.	-	homodimer	-	-	-	-	-	psi-mi:"-"(ceitec)	Q13257(2)
