A1BG	ENSG00000121410
MORF4L2	ENSG00000123562
MORN1	ENSG00000116151
MORN2	ENSG00000188010
MORN3	ENSG00000139714
MORN4	ENSG00000171160
MORN5	ENSG00000185681
MOS	ENSG00000172680
MOSMO	ENSG00000185716
MOSPD1	ENSG00000101928
MOSPD2	ENSG00000130150
MOSPD3	ENSG00000106330
MOV10	ENSG00000155363
MOV10L1	ENSG00000073146
MOXD1	ENSG00000079931
MPC1	ENSG00000060762
MPC2	ENSG00000143158
MPDU1	ENSG00000129255
MPDZ	ENSG00000107186
MPEG1	ENSG00000197629
MPG	ENSG00000103152
MPHOSPH10	ENSG00000124383
MPHOSPH6	ENSG00000135698
MPHOSPH8	ENSG00000196199
MPHOSPH9	ENSG00000051825
MPI	ENSG00000178802
MPIG6B	ENSG00000204420
MPL	ENSG00000117400
MPLKIP	ENSG00000168303
MPND	ENSG00000008382
MPO	ENSG00000005381
MPP1	ENSG00000130830
MPP2	ENSG00000108852
MPP3	ENSG00000161647
MPP4	ENSG00000082126
MPP7	ENSG00000150054
MPPE1	ENSG00000154889
MPPED1	ENSG00000186732
MPPED2	ENSG00000066382
MPRIP	ENSG00000133030
MPST	ENSG00000128309
MPV17	ENSG00000115204
MPV17L	ENSG00000156968
MPV17L2	ENSG00000254858
MPZ	ENSG00000158887
MPZL1	ENSG00000197965
MPZL2	ENSG00000149573
MPZL3	ENSG00000160588
MR1	ENSG00000153029
MRAP	ENSG00000170262
MRAP2	ENSG00000135324
MRAS	ENSG00000158186
MRC1	ENSG00000260314
MRC2	ENSG00000011028
MRE11	ENSG00000020922
MREG	ENSG00000118242
MRFAP1	ENSG00000179010
MRFAP1L1	ENSG00000178988
MRGBP	ENSG00000101189
MRGPRD	ENSG00000172938
MRGPRE	ENSG00000184350
MRGPRF	ENSG00000172935
MRGPRG	ENSG00000182170
MRGPRX1	ENSG00000170255
MRGPRX2	ENSG00000183695
MRGPRX3	ENSG00000179826
MRGPRX4	ENSG00000179817
MRI1	ENSG00000037757
MRM1	ENSG00000278619
MRM2	ENSG00000122687
MRM3	ENSG00000171861
MRNIP	ENSG00000161010
MRO	ENSG00000134042
MROH1	ENSG00000179832
MROH2B	ENSG00000171495
MROH6	ENSG00000204839
MROH7	ENSG00000184313
MROH9	ENSG00000117501
MRPL1	ENSG00000169288
MRPL10	ENSG00000159111
MRPL11	ENSG00000174547
MRPL12	ENSG00000262814
MRPL13	ENSG00000172172
MRPL14	ENSG00000180992
MRPL15	ENSG00000137547
MRPL16	ENSG00000166902
MRPL17	ENSG00000158042
MRPL18	ENSG00000112110
MRPL19	ENSG00000115364
MRPL2	ENSG00000112651
MRPL20	ENSG00000242485
MRPL21	ENSG00000197345
MRPL22	ENSG00000082515
MRPL23	ENSG00000214026
MRPL24	ENSG00000143314
MRPL27	ENSG00000108826
MRPL28	ENSG00000086504
MRPL3	ENSG00000114686
MRPL30	ENSG00000185414
MRPL32	ENSG00000106591
MRPL33	ENSG00000243147
MRPL34	ENSG00000130312
MRPL35	ENSG00000132313
MRPL36	ENSG00000171421
MRPL37	ENSG00000116221
MRPL38	ENSG00000204316
MRPL39	ENSG00000154719
MRPL4	ENSG00000105364
MRPL40	ENSG00000185608
MRPL41	ENSG00000182154
MRPL42	ENSG00000198015
MRPL43	ENSG00000055950
MRPL44	ENSG00000135900
MRPL45	ENSG00000278845
MRPL46	ENSG00000259494
MRPL47	ENSG00000136522
MRPL48	ENSG00000175581
MRPL49	ENSG00000149792
MRPL50	ENSG00000136897
MRPL51	ENSG00000111639
MRPL52	ENSG00000172590
MRPL53	ENSG00000204822
MRPL54	ENSG00000183617
MRPL55	ENSG00000162910
MRPL57	ENSG00000173141
MRPL58	ENSG00000167862
MRPL9	ENSG00000143436
MRPS10	ENSG00000048544
MRPS11	ENSG00000181991
MRPS12	ENSG00000128626
MRPS14	ENSG00000120333
MRPS15	ENSG00000116898
MRPS16	ENSG00000182180
MRPS17	ENSG00000239789
MRPS18A	ENSG00000096080
MRPS18B	ENSG00000204568
MRPS18C	ENSG00000163319
MRPS2	ENSG00000122140
MRPS21	ENSG00000266472
MRPS22	ENSG00000175110
MRPS23	ENSG00000181610
MRPS24	ENSG00000062582
MRPS25	ENSG00000131368
MRPS26	ENSG00000125901
MRPS27	ENSG00000113048
MRPS28	ENSG00000147586
MRPS30	ENSG00000112996
MRPS31	ENSG00000102738
MRPS33	ENSG00000090263
MRPS34	ENSG00000074071
MRPS35	ENSG00000061794
MRPS36	ENSG00000134056
MRPS5	ENSG00000144029
MRPS6	ENSG00000243927
MRPS7	ENSG00000125445
MRPS9	ENSG00000135972
MRRF	ENSG00000148187
MRS2	ENSG00000124532
MRTFA	ENSG00000196588
MRTFB	ENSG00000186260
MRTO4	ENSG00000053372
MS4A1	ENSG00000156738
MS4A10	ENSG00000172689
MS4A12	ENSG00000071203
MS4A13	ENSG00000204979
MS4A14	ENSG00000166928
MS4A15	ENSG00000166961
MS4A2	ENSG00000149534
MS4A3	ENSG00000149516
MS4A4A	ENSG00000110079
MS4A5	ENSG00000166930
MS4A6A	ENSG00000110077
MS4A6E	ENSG00000166926
MS4A7	ENSG00000166927
MS4A8	ENSG00000166959
MSANTD1	ENSG00000188981
MSANTD2	ENSG00000120458
MSANTD3	ENSG00000066697
MSANTD4	ENSG00000170903
MSC	ENSG00000178860
MSGN1	ENSG00000151379
MSH2	ENSG00000095002
MSH3	ENSG00000113318
MSH4	ENSG00000057468
MSH5	ENSG00000204410
MSH6	ENSG00000116062
MSI1	ENSG00000135097
MSI2	ENSG00000153944
MSL1	ENSG00000188895
MSL2	ENSG00000174579
MSL3	ENSG00000005302
MSLN	ENSG00000102854
MSMB	ENSG00000263639
MSMO1	ENSG00000052802
MSMP	ENSG00000215183
MSN	ENSG00000147065
MSR1	ENSG00000038945
MSRA	ENSG00000175806
MSRB1	ENSG00000198736
MSRB2	ENSG00000148450
MSRB3	ENSG00000174099
MSS51	ENSG00000166343
MST1	ENSG00000173531
MST1R	ENSG00000164078
MSTN	ENSG00000138379
MSTO1	ENSG00000125459
MSX1	ENSG00000163132
MSX2	ENSG00000120149
MT1A	ENSG00000205362
MT1B	ENSG00000169688
MT1E	ENSG00000169715
MT1F	ENSG00000198417
MT1G	ENSG00000125144
MT1H	ENSG00000205358
MT1HL1	ENSG00000244020
MT1M	ENSG00000205364
MT1X	ENSG00000187193
MT2A	ENSG00000125148
MT3	ENSG00000087250
MT4	ENSG00000102891
MTA1	ENSG00000182979
MTA2	ENSG00000149480
MTA3	ENSG00000057935
MTAP	ENSG00000099810
MTARC1	ENSG00000186205
MTARC2	ENSG00000117791
MTBP	ENSG00000172167
MTCH1	ENSG00000137409
MTCH2	ENSG00000109919
MTCL1	ENSG00000168502
MTCP1	ENSG00000214827
MTDH	ENSG00000147649
MTERF1	ENSG00000127989
MTERF2	ENSG00000120832
MTERF3	ENSG00000156469
MTERF4	ENSG00000122085
MTF1	ENSG00000188786
MTF2	ENSG00000143033
MTFMT	ENSG00000103707
MTFP1	ENSG00000242114
MTFR1	ENSG00000066855
MTFR1L	ENSG00000117640
MTFR2	ENSG00000146410
MTG1	ENSG00000148824
MTG2	ENSG00000101181
MTHFD1	ENSG00000100714
MTHFD1L	ENSG00000120254
MTHFD2	ENSG00000065911
MTHFD2L	ENSG00000163738
MTHFR	ENSG00000177000
MTHFS	ENSG00000136371
MTHFSD	ENSG00000103248
MTIF2	ENSG00000085760
MTIF3	ENSG00000122033
MTM1	ENSG00000171100
MTMR1	ENSG00000063601
MTMR10	ENSG00000166912
MTMR11	ENSG00000014914
MTMR12	ENSG00000150712
MTMR14	ENSG00000163719
MTMR2	ENSG00000087053
MTMR3	ENSG00000100330
MTMR4	ENSG00000108389
MTMR6	ENSG00000139505
MTMR7	ENSG00000003987
MTMR8	ENSG00000102043
MTMR9	ENSG00000104643
MTNR1A	ENSG00000168412
MTNR1B	ENSG00000134640
MTO1	ENSG00000135297
MTOR	ENSG00000198793
MTPAP	ENSG00000107951
MTPN	ENSG00000105887
MTR	ENSG00000116984
MTRES1	ENSG00000130349
MTREX	ENSG00000039123
MTRF1	ENSG00000120662
MTRF1L	ENSG00000112031
MTRFR	ENSG00000130921
MTRR	ENSG00000124275
MTSS1	ENSG00000170873
MTSS2	ENSG00000132613
MTTP	ENSG00000138823
MTURN	ENSG00000180354
MTUS1	ENSG00000129422
MTUS2	ENSG00000132938
MTX1	ENSG00000173171
MTX2	ENSG00000128654
MTX3	ENSG00000177034
MUC1	ENSG00000185499
MUC12	ENSG00000205277
MUC15	ENSG00000169550
MUC16	ENSG00000181143
MUC17	ENSG00000169876
MUC20	ENSG00000176945
MUC21	ENSG00000204544
MUC22	ENSG00000261272
MUC4	ENSG00000145113
MUC5B	ENSG00000117983
MUC6	ENSG00000184956
MUC7	ENSG00000171195
MUCL1	ENSG00000172551
MUCL3	ENSG00000168631
MUL1	ENSG00000090432
MUS81	ENSG00000172732
MUSK	ENSG00000030304
MUSTN1	ENSG00000272573
MUTYH	ENSG00000132781
MVB12A	ENSG00000141971
MVB12B	ENSG00000196814
MVD	ENSG00000167508
MVK	ENSG00000110921
MVP	ENSG00000013364
MX1	ENSG00000157601
MX2	ENSG00000183486
MXD1	ENSG00000059728
MXD3	ENSG00000213347
MXD4	ENSG00000123933
MXI1	ENSG00000119950
MXRA5	ENSG00000101825
MXRA7	ENSG00000182534
MXRA8	ENSG00000162576
MYADM	ENSG00000179820
MYADML2	ENSG00000185105
MYB	ENSG00000118513
MYBBP1A	ENSG00000132382
MYBL1	ENSG00000185697
MYBL2	ENSG00000101057
MYBPC1	ENSG00000196091
MYBPC2	ENSG00000086967
MYBPC3	ENSG00000134571
MYBPH	ENSG00000133055
MYBPHL	ENSG00000221986
MYC	ENSG00000136997
MYCBP	ENSG00000214114
MYCBPAP	ENSG00000136449
MYCL	ENSG00000116990
MYCN	ENSG00000134323
MYCT1	ENSG00000120279
MYD88	ENSG00000172936
MYDGF	ENSG00000074842
MYEF2	ENSG00000104177
MYEOV	ENSG00000172927
MYF5	ENSG00000111049
MYF6	ENSG00000111046
MYG1	ENSG00000139637
MYH1	ENSG00000109061
MYH10	ENSG00000133026
MYH11	ENSG00000133392
MYH13	ENSG00000006788
MYH14	ENSG00000105357
MYH15	ENSG00000144821
MYH2	ENSG00000125414
MYH3	ENSG00000109063
MYH4	ENSG00000264424
MYH6	ENSG00000197616
MYH7	ENSG00000092054
MYH8	ENSG00000133020
MYH9	ENSG00000100345
MYL1	ENSG00000168530
MYL10	ENSG00000106436
MYL11	ENSG00000180209
MYL12A	ENSG00000101608
MYL12B	ENSG00000118680
MYL2	ENSG00000111245
MYL3	ENSG00000160808
MYL4	ENSG00000198336
MYL5	ENSG00000215375
MYL6	ENSG00000092841
MYL6B	ENSG00000196465
MYL7	ENSG00000106631
MYL9	ENSG00000101335
MYLIP	ENSG00000007944
MYLK	ENSG00000065534
MYLK2	ENSG00000101306
MYLK3	ENSG00000140795
MYLK4	ENSG00000145949
MYMK	ENSG00000187616
MYNN	ENSG00000085274
MYO10	ENSG00000145555
MYO15A	ENSG00000091536
MYO16	ENSG00000041515
MYO18A	ENSG00000196535
MYO18B	ENSG00000133454
MYO19	ENSG00000278259
MYO1A	ENSG00000166866
MYO1B	ENSG00000128641
MYO1C	ENSG00000197879
MYO1D	ENSG00000176658
MYO1E	ENSG00000157483
MYO1F	ENSG00000142347
MYO1G	ENSG00000136286
MYO1H	ENSG00000174527
MYO3A	ENSG00000095777
MYO3B	ENSG00000071909
MYO5A	ENSG00000197535
MYO5B	ENSG00000167306
MYO5C	ENSG00000128833
MYO6	ENSG00000196586
MYO7A	ENSG00000137474
MYO7B	ENSG00000169994
MYO9A	ENSG00000066933
MYO9B	ENSG00000099331
MYOC	ENSG00000034971
MYOCD	ENSG00000141052
MYOD1	ENSG00000129152
MYOF	ENSG00000138119
MYOG	ENSG00000122180
MYOM1	ENSG00000101605
MYOM2	ENSG00000036448
MYOM3	ENSG00000142661
MYOT	ENSG00000120729
MYOZ1	ENSG00000177791
MYOZ2	ENSG00000172399
MYOZ3	ENSG00000164591
MYPN	ENSG00000138347
MYPOP	ENSG00000176182
MYRF	ENSG00000124920
MYRIP	ENSG00000170011
MYSM1	ENSG00000162601
MYT1	ENSG00000196132
MYT1L	ENSG00000186487
MYZAP	ENSG00000263155
MZB1	ENSG00000170476
MZF1	ENSG00000099326
MZT1	ENSG00000204899
MZT2A	ENSG00000173272
MZT2B	ENSG00000152082
N4BP1	ENSG00000102921
N4BP2	ENSG00000078177
N4BP2L1	ENSG00000139597
N4BP2L2	ENSG00000244754
N4BP3	ENSG00000145911
N6AMT1	ENSG00000156239
NAA10	ENSG00000102030
NAA11	ENSG00000156269
NAA15	ENSG00000164134
NAA16	ENSG00000172766
NAA20	ENSG00000173418
NAA25	ENSG00000111300
NAA30	ENSG00000139977
NAA35	ENSG00000135040
NAA38	ENSG00000183011
NAA40	ENSG00000110583
NAA50	ENSG00000121579
NAA60	ENSG00000122390
NAA80	ENSG00000243477
NAAA	ENSG00000138744
NAALAD2	ENSG00000077616
NAALADL1	ENSG00000168060
NAALADL2	ENSG00000177694
NAB1	ENSG00000138386
NAB2	ENSG00000166886
NABP1	ENSG00000173559
NABP2	ENSG00000139579
NACA	ENSG00000196531
NACA2	ENSG00000253506
NACAD	ENSG00000136274
NACC1	ENSG00000160877
NACC2	ENSG00000148411
NADK	ENSG00000008130
NADK2	ENSG00000152620
NADSYN1	ENSG00000172890
NAE1	ENSG00000159593
NAF1	ENSG00000145414
NAGA	ENSG00000198951
NAGK	ENSG00000124357
NAGLU	ENSG00000108784
NAGPA	ENSG00000103174
NAGS	ENSG00000161653
NAIF1	ENSG00000171169
NALCN	ENSG00000102452
NALF1	ENSG00000204442
NALF2	ENSG00000130054
NAMPT	ENSG00000105835
NANOG	ENSG00000111704
NANOGNB	ENSG00000205857
NANOS1	ENSG00000188613
NANOS2	ENSG00000188425
NANOS3	ENSG00000187556
NANP	ENSG00000170191
NANS	ENSG00000095380
NAP1L1	ENSG00000187109
NAP1L2	ENSG00000186462
NAP1L3	ENSG00000186310
NAP1L4	ENSG00000205531
NAP1L5	ENSG00000177432
NAPA	ENSG00000105402
NAPB	ENSG00000125814
NAPEPLD	ENSG00000161048
NAPG	ENSG00000134265
NAPRT	ENSG00000147813
NAPSA	ENSG00000131400
NARF	ENSG00000141562
NARS1	ENSG00000134440
NARS2	ENSG00000137513
NASP	ENSG00000132780
NAT1	ENSG00000171428
NAT10	ENSG00000135372
NAT14	ENSG00000090971
NAT16	ENSG00000167011
NAT2	ENSG00000156006
NAT8	ENSG00000144035
NAT8L	ENSG00000185818
NAT9	ENSG00000109065
NAV1	ENSG00000134369
NAV2	ENSG00000166833
NAV3	ENSG00000067798
NAXD	ENSG00000213995
NAXE	ENSG00000163382
NBAS	ENSG00000151779
NBEA	ENSG00000172915
NBEAL1	ENSG00000144426
NBEAL2	ENSG00000160796
NBL1	ENSG00000158747
NBN	ENSG00000104320
NBPF3	ENSG00000142794
NBR1	ENSG00000188554
NCALD	ENSG00000104490
NCAM2	ENSG00000154654
NCAN	ENSG00000130287
NCAPD2	ENSG00000010292
NCAPD3	ENSG00000151503
NCAPG	ENSG00000109805
NCAPG2	ENSG00000146918
NCAPH	ENSG00000121152
NCAPH2	ENSG00000025770
NCBP1	ENSG00000136937
NCBP2	ENSG00000114503
NCBP3	ENSG00000074356
NCCRP1	ENSG00000188505
NCDN	ENSG00000020129
NCEH1	ENSG00000144959
NCF1	ENSG00000158517
NCF2	ENSG00000116701
NCF4	ENSG00000100365
NCK1	ENSG00000158092
NCK2	ENSG00000071051
NCKAP1	ENSG00000061676
NCKAP1L	ENSG00000123338
NCKAP5	ENSG00000176771
NCKAP5L	ENSG00000167566
NCKIPSD	ENSG00000213672
NCL	ENSG00000115053
NCLN	ENSG00000125912
NCMAP	ENSG00000184454
NCOA1	ENSG00000084676
NCOA2	ENSG00000140396
NCOA3	ENSG00000124151
NCOA4	ENSG00000266412
NCOA5	ENSG00000124160
NCOA6	ENSG00000198646
NCOA7	ENSG00000111912
NCOR1	ENSG00000141027
NCOR2	ENSG00000196498
NCR1	ENSG00000189430
NCR2	ENSG00000096264
NCR3	ENSG00000204475
NCR3LG1	ENSG00000188211
NCS1	ENSG00000107130
NCSTN	ENSG00000162736
NDC1	ENSG00000058804
NDC80	ENSG00000080986
NDE1	ENSG00000072864
NDEL1	ENSG00000166579
NDFIP1	ENSG00000131507
NDFIP2	ENSG00000102471
NDN	ENSG00000182636
NDNF	ENSG00000173376
NDOR1	ENSG00000188566
NDP	ENSG00000124479
NDRG1	ENSG00000104419
NDRG2	ENSG00000165795
NDRG3	ENSG00000101079
NDRG4	ENSG00000103034
NDST1	ENSG00000070614
NDST2	ENSG00000166507
NDST3	ENSG00000164100
NDST4	ENSG00000138653
NDUFA1	ENSG00000125356
NDUFA10	ENSG00000130414
NDUFA11	ENSG00000174886
NDUFA12	ENSG00000184752
NDUFA13	ENSG00000186010
NDUFA2	ENSG00000131495
NDUFA3	ENSG00000170906
NDUFA4	ENSG00000189043
NDUFA4L2	ENSG00000185633
NDUFA5	ENSG00000128609
NDUFA6	ENSG00000184983
NDUFA7	ENSG00000267855
NDUFA8	ENSG00000119421
NDUFA9	ENSG00000139180
NDUFAB1	ENSG00000004779
NDUFAF1	ENSG00000137806
NDUFAF2	ENSG00000164182
NDUFAF3	ENSG00000178057
NDUFAF4	ENSG00000123545
NDUFAF5	ENSG00000101247
NDUFAF6	ENSG00000156170
NDUFAF7	ENSG00000003509
NDUFAF8	ENSG00000224877
NDUFB1	ENSG00000183648
NDUFB10	ENSG00000140990
NDUFB11	ENSG00000147123
NDUFB2	ENSG00000090266
NDUFB3	ENSG00000119013
NDUFB4	ENSG00000065518
NDUFB5	ENSG00000136521
NDUFB6	ENSG00000165264
NDUFB7	ENSG00000099795
NDUFB8	ENSG00000166136
NDUFB9	ENSG00000147684
NDUFC1	ENSG00000109390
NDUFC2	ENSG00000151366
NDUFS1	ENSG00000023228
NDUFS2	ENSG00000158864
NDUFS3	ENSG00000213619
NDUFS4	ENSG00000164258
NDUFS5	ENSG00000168653
NDUFS6	ENSG00000145494
NDUFS7	ENSG00000115286
NDUFS8	ENSG00000110717
NDUFV1	ENSG00000167792
NDUFV2	ENSG00000178127
NDUFV3	ENSG00000160194
NEB	ENSG00000183091
NEBL	ENSG00000078114
NECAB1	ENSG00000123119
NECAB2	ENSG00000103154
NECAB3	ENSG00000125967
NECAP1	ENSG00000089818
NECAP2	ENSG00000157191
NECTIN1	ENSG00000110400
NECTIN2	ENSG00000130202
NECTIN3	ENSG00000177707
NECTIN4	ENSG00000143217
NEDD1	ENSG00000139350
NEDD4	ENSG00000069869
NEDD4L	ENSG00000049759
NEDD8	ENSG00000129559
NEDD9	ENSG00000111859
NEFH	ENSG00000100285
NEFM	ENSG00000104722
NEGR1	ENSG00000172260
NEIL1	ENSG00000140398
NEIL2	ENSG00000154328
NEIL3	ENSG00000109674
NEK1	ENSG00000137601
NEK10	ENSG00000163491
NEK11	ENSG00000114670
NEK2	ENSG00000117650
NEK3	ENSG00000136098
NEK4	ENSG00000114904
NEK5	ENSG00000197168
NEK6	ENSG00000119408
NEK7	ENSG00000151414
NEK8	ENSG00000160602
NEK9	ENSG00000119638
NELFA	ENSG00000185049
NELFB	ENSG00000188986
NELFCD	ENSG00000101158
NELFE	ENSG00000204356
NELL1	ENSG00000165973
NELL2	ENSG00000184613
NEMF	ENSG00000165525
NEMP1	ENSG00000166881
NEMP2	ENSG00000189362
NENF	ENSG00000117691
NEO1	ENSG00000067141
NEPRO	ENSG00000163608
NES	ENSG00000132688
NET1	ENSG00000173848
NETO1	ENSG00000166342
NETO2	ENSG00000171208
NEU1	ENSG00000204386
NEU2	ENSG00000115488
NEU3	ENSG00000162139
NEU4	ENSG00000204099
NEURL1	ENSG00000107954
NEURL1B	ENSG00000214357
NEURL2	ENSG00000124257
NEURL4	ENSG00000215041
NEUROD1	ENSG00000162992
NEUROD2	ENSG00000171532
NEUROD4	ENSG00000123307
NEUROD6	ENSG00000164600
NEUROG1	ENSG00000181965
NEUROG2	ENSG00000178403
NEUROG3	ENSG00000122859
NEXMIF	ENSG00000050030
NEXN	ENSG00000162614
NF1	ENSG00000196712
NF2	ENSG00000186575
NFAM1	ENSG00000235568
NFASC	ENSG00000163531
NFAT5	ENSG00000102908
NFATC1	ENSG00000131196
NFATC2	ENSG00000101096
NFATC2IP	ENSG00000176953
NFATC3	ENSG00000072736
NFATC4	ENSG00000100968
NFE2	ENSG00000123405
NFE2L1	ENSG00000082641
NFE2L2	ENSG00000116044
NFE2L3	ENSG00000050344
NFIA	ENSG00000162599
NFIB	ENSG00000147862
NFIC	ENSG00000141905
NFIL3	ENSG00000165030
NFIX	ENSG00000008441
NFKB1	ENSG00000109320
NFKB2	ENSG00000077150
NFKBIA	ENSG00000100906
NFKBIB	ENSG00000104825
NFKBID	ENSG00000167604
NFKBIE	ENSG00000146232
NFKBIL1	ENSG00000204498
NFKBIZ	ENSG00000144802
NFRKB	ENSG00000170322
NFS1	ENSG00000244005
NFU1	ENSG00000169599
NFX1	ENSG00000086102
NFXL1	ENSG00000170448
NFYA	ENSG00000001167
NFYB	ENSG00000120837
NFYC	ENSG00000066136
NGB	ENSG00000165553
NGDN	ENSG00000129460
NGEF	ENSG00000066248
NGF	ENSG00000134259
NGFR	ENSG00000064300
NGLY1	ENSG00000151092
NGRN	ENSG00000182768
NHEJ1	ENSG00000187736
NHLH1	ENSG00000171786
NHLH2	ENSG00000177551
NHLRC1	ENSG00000187566
NHLRC2	ENSG00000196865
NHLRC3	ENSG00000188811
NHLRC4	ENSG00000257108
NHP2	ENSG00000145912
NHS	ENSG00000188158
NHSL1	ENSG00000135540
NIBAN1	ENSG00000135842
NIBAN2	ENSG00000136830
NIBAN3	ENSG00000167483
NICN1	ENSG00000145029
NID1	ENSG00000116962
NID2	ENSG00000087303
NIF3L1	ENSG00000196290
NIFK	ENSG00000155438
NIM1K	ENSG00000177453
NIN	ENSG00000100503
NINJ1	ENSG00000131669
NINJ2	ENSG00000171840
NINL	ENSG00000101004
NIP7	ENSG00000132603
NIPA1	ENSG00000170113
NIPA2	ENSG00000140157
NIPAL1	ENSG00000163293
NIPAL2	ENSG00000104361
NIPAL3	ENSG00000001461
NIPAL4	ENSG00000172548
NIPBL	ENSG00000164190
NIPSNAP1	ENSG00000184117
NIPSNAP2	ENSG00000146729
NIPSNAP3A	ENSG00000136783
NIPSNAP3B	ENSG00000165028
NISCH	ENSG00000010322
NIT1	ENSG00000158793
NIT2	ENSG00000114021
NKAIN1	ENSG00000084628
NKAIN2	ENSG00000188580
NKAIN3	ENSG00000185942
NKAIN4	ENSG00000101198
NKAP	ENSG00000101882
NKAPD1	ENSG00000150776
NKAPL	ENSG00000189134
NKD1	ENSG00000140807
NKD2	ENSG00000145506
NKG7	ENSG00000105374
NKIRAS1	ENSG00000197885
NKIRAS2	ENSG00000168256
NKTR	ENSG00000114857
NKX1-2	ENSG00000229544
NKX2-1	ENSG00000136352
NKX2-2	ENSG00000125820
NKX2-3	ENSG00000119919
NKX2-4	ENSG00000125816
NKX2-5	ENSG00000183072
NKX2-8	ENSG00000136327
NKX3-1	ENSG00000167034
NKX3-2	ENSG00000109705
NKX6-1	ENSG00000163623
NKX6-2	ENSG00000148826
NKX6-3	ENSG00000165066
NLE1	ENSG00000073536
NLGN1	ENSG00000169760
NLGN2	ENSG00000169992
NLGN3	ENSG00000196338
NLGN4X	ENSG00000146938
NLGN4Y	ENSG00000165246
NLK	ENSG00000087095
NLN	ENSG00000123213
NLRC4	ENSG00000091106
NLRC5	ENSG00000140853
NLRP1	ENSG00000091592
NLRP10	ENSG00000182261
NLRP11	ENSG00000179873
NLRP12	ENSG00000142405
NLRP13	ENSG00000173572
NLRP14	ENSG00000158077
NLRP2	ENSG00000022556
NLRP3	ENSG00000162711
NLRP4	ENSG00000160505
NLRP5	ENSG00000171487
NLRP6	ENSG00000174885
NLRP7	ENSG00000167634
NLRP8	ENSG00000179709
NLRP9	ENSG00000185792
NLRX1	ENSG00000160703
NMB	ENSG00000197696
NMBR	ENSG00000135577
NMD3	ENSG00000169251
NME1	ENSG00000239672
NME2	ENSG00000243678
NME3	ENSG00000103024
NME4	ENSG00000103202
NME5	ENSG00000112981
NME6	ENSG00000172113
NME7	ENSG00000143156
NME8	ENSG00000086288
NME9	ENSG00000181322
NMI	ENSG00000123609
NMNAT1	ENSG00000173614
NMNAT2	ENSG00000157064
NMNAT3	ENSG00000163864
NMRAL1	ENSG00000153406
NMRK1	ENSG00000106733
NMRK2	ENSG00000077009
NMS	ENSG00000204640
NMT1	ENSG00000136448
NMT2	ENSG00000152465
NMU	ENSG00000109255
NMUR1	ENSG00000171596
NMUR2	ENSG00000132911
NNAT	ENSG00000053438
NNMT	ENSG00000166741
NNT	ENSG00000112992
NOA1	ENSG00000084092
NOB1	ENSG00000141101
NOC2L	ENSG00000188976
NOC3L	ENSG00000173145
NOC4L	ENSG00000184967
NOCT	ENSG00000151014
NOD1	ENSG00000106100
NOD2	ENSG00000167207
NODAL	ENSG00000156574
NOG	ENSG00000183691
NOL10	ENSG00000115761
NOL11	ENSG00000130935
NOL12	ENSG00000273899
NOL3	ENSG00000140939
NOL4	ENSG00000101746
NOL4L	ENSG00000197183
NOL6	ENSG00000165271
NOL7	ENSG00000225921
NOL8	ENSG00000198000
NOL9	ENSG00000162408
NOLC1	ENSG00000166197
NOM1	ENSG00000146909
NOMO1	ENSG00000103512
NOMO2	ENSG00000185164
NONO	ENSG00000147140
NOP10	ENSG00000182117
NOP14	ENSG00000087269
NOP16	ENSG00000048162
NOP2	ENSG00000111641
NOP53	ENSG00000105373
NOP56	ENSG00000101361
NOP58	ENSG00000055044
NOP9	ENSG00000196943
NOPCHAP1	ENSG00000151131
NOS1	ENSG00000089250
NOS1AP	ENSG00000198929
NOS2	ENSG00000007171
NOS3	ENSG00000164867
NOSIP	ENSG00000142546
NOSTRIN	ENSG00000163072
NOTCH1	ENSG00000148400
NOTCH2	ENSG00000134250
NOTCH3	ENSG00000074181
NOTCH4	ENSG00000204301
NOTO	ENSG00000214513
NOTUM	ENSG00000185269
NOVA1	ENSG00000139910
NOVA2	ENSG00000104967
NOX1	ENSG00000007952
NOX3	ENSG00000074771
NOX4	ENSG00000086991
NOXA1	ENSG00000188747
NOXO1	ENSG00000196408
NOXRED1	ENSG00000165555
NPAP1	ENSG00000185823
NPAS1	ENSG00000130751
NPAS2	ENSG00000170485
NPAS3	ENSG00000151322
NPAS4	ENSG00000174576
NPAT	ENSG00000149308
NPB	ENSG00000183979
NPBWR1	ENSG00000288611
NPBWR2	ENSG00000125522
NPC1	ENSG00000141458
NPC1L1	ENSG00000015520
NPC2	ENSG00000119655
NPDC1	ENSG00000107281
NPEPL1	ENSG00000215440
NPEPPS	ENSG00000141279
NPFF	ENSG00000139574
NPFFR1	ENSG00000148734
NPFFR2	ENSG00000056291
NPHP1	ENSG00000144061
NPHP3	ENSG00000113971
NPHP4	ENSG00000131697
NPHS1	ENSG00000161270
NPHS2	ENSG00000116218
NPL	ENSG00000135838
NPLOC4	ENSG00000182446
NPM1	ENSG00000181163
NPM2	ENSG00000158806
NPM3	ENSG00000107833
NPNT	ENSG00000168743
NPPA	ENSG00000175206
NPPB	ENSG00000120937
NPPC	ENSG00000163273
NPR1	ENSG00000169418
NPR2	ENSG00000159899
NPR3	ENSG00000113389
NPRL2	ENSG00000114388
NPS	ENSG00000214285
NPSR1	ENSG00000187258
NPTN	ENSG00000156642
NPTX1	ENSG00000171246
NPTX2	ENSG00000106236
NPTXR	ENSG00000221890
